HotelID,UserID,User,Country,Review,Rating
6304,114524,柯文賢,Taiwan,Pleasant,6.0
6304,5503,Lee,United Kingdom,Very Good,8.0
6304,4601,Yi,Taiwan,Pleasant,6.0
6304,3677,Poppy,United Kingdom,Good location and clean. Shower pressure awful,7.0
6304,541,Olivia,United Kingdom,Very Good,8.0
6304,2766,Gabriel,Vietnam,Okay,6.0
6304,67371,Jackr2e,Australia,Very poor.,1.0
6304,57,Marco,Australia,Great,10
6304,296,Marko,United States,Wonderful,9.0
6304,2757,Giovanni,Canada,Great clean location and great hosts!!,10
6304,4558,Marlena,Poland,Bad,1.0
6304,88472,Ranga,India,"Didn't get to go, as they denied entry becuase they were full",5.0
6304,4499,Sofia,Russia,Exceptional,10
6304,1213,Tam,Australia,"Please do your self a favour Do Not Book this Hotel, it nothings good about the l’anmien hotel.",1.0
6304,20294,Kajetan,Norway,"Fine, but way too much noise… if somebody wants to relax coming to Saigon, I would stay away",3.0
6304,543,Tom,Netherlands,Bad,1.0
6304,564,Trinh,Vietnam,Tạm ổn,6.0
6304,42,Aleksandra,Russia,"Отель хороший, но очень шумная улица.",7.0
6304,588,Phan,Vietnam,Very Good,8.0
6304,1611,Mariana,Italy,Rui,3.0
6304,443,Nataliia,Ukraine,Exceptional,10
6304,4846,Jorge,Spain,Bad,1.0
6304,497,Alexander,Austria,Sehr komfortabel und zentral,9.0
6304,315,Alexis,France,Je  vous laisse donner 😂,9.0
6304,9785,Nail,Turkey,Bad,1.0
6304,2115,Ingo,Germany,"Extrem laute Musik, schlafen nicht möglich",2.0
6304,301,Vũ,Vietnam,Exceptional,10
6304,3837,Wiktoria,Poland,Disappointing,4.0
6304,4089,Tetiana,Ukraine,"Отлично, рекомендую",10
6304,796,Hân,Vietnam,Exceptional,10
6304,738,Uyên,Vietnam,Exceptional,10
6304,768,Hữu,Vietnam,Tôi sẽ quay lại đây.,10
6304,3010,Alan,Australia,Good,7.0
6304,50370,Bj,Qatar,Pleasant,6.0
6304,53638,Dhanushka,Sri Lanka,Good,7.0
6304,294,Emmanuel,Philippines,Very Good,8.0
6304,19438,Nishad,India,Exceptional,10
6304,3189,Abu,Saudi Arabia,Wonderful,9.0
6304,487,Mark,United Kingdom,Exceptional,10
6304,114964,Akarsha,India,Very Poor,2.0
6304,2778,Chien,Australia,Very Good,8.0
6304,20425,Maro,Poland,Good,7.0
6304,3178,Bao,Finland,Good,7.0
6304,5040,Fabrice,France,Very Good,8.0
6304,22,Joseph,Italy,Very Good,8.0
6304,113478,Maiph,Vietnam,Fair,5.0
6304,407,Daniel,Spain,Bad,1.0
6304,4687,Pascal,France,Very Poor,2.0
6304,183,Hà,Vietnam,Wonderful,9.0
6304,741,Tú,Vietnam,Exceptional,10
6304,113545,Nalisa,Thailand,Exceptional,10
6304,766,Nguyễn,Vietnam,Wonderful,9.0
6306,4143,Duncan,United Kingdom,"A lovely stay, affordable with a sea view",8.0
6306,2662,Tim,Australia,Good value,7.0
6306,1101,Kerry,Australia,Pleasant,8.0
6306,12688,Doug,Canada,Fair.,7.0
6306,2510,Christophe,Belgium,ocean's great 👍🏼,7.0
6306,3119,Vincent,United States,Exceptional,10
6306,613,Vitalii,Russia,Pleasant,6.0
6306,2134,K,United States,"It worked, but we won't be back",5.0
6306,527,Thuong,Vietnam,Tuyệt vời,8.0
6306,75,Artem,Russia,Хороший отель с удобным расположением,8.0
6306,74887,Byungmin,South Korea,Very Good,8.0
6306,19921,Galaa,Russia,Very Good,8.0
6306,101628,Bh,Vietnam,Good,7.0
6306,1282,Lộc,Vietnam,Tuyệt,7.0
6306,451,Andrei,Russia,"Все прекрасно, но был один нюанс...",8.0
6306,796,Hân,Vietnam,Wonderful,9.0
6306,768,Hữu,Vietnam,Chuyến đi tạm được.,8.0
6306,9135,Tố,Vietnam,Tuyệt,8.0
6306,377,Anh,Vietnam,Tuyệt vời,8.0
6306,37,Thi,Vietnam,Vị trí tuyệt vời để tận hưởng kỳ nghỉ và tắm nắng bên biển,9.0
6306,1096,Hương,Vietnam,Wonderful,9.0
6306,738,Uyên,Vietnam,Wonderful,9.0
6306,483,Tiên,Vietnam,"Ok, sạch sẽ, nhân viên hỗ trợ nhanh, tốt",8.0
6306,213,Bui,Vietnam,Very Good,8.0
